C├│digo_do;Munic├¡pio;Estado;Ano_de_Ref;Prestadore;Servi├ºos;POP_TOT__;AG001___Po;ES001___Po
230010;Abaiara;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua;11,35700000000;3,82900000000;0,00000000000
230015;Acarap├®;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua e Esgoto;16,28800000000;6,15400000000;1,72800000000
230020;Acara├║;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua e Esgoto;61,21000000000;20,06100000000;2,52300000000
230030;Acopiara;CE;2015;"[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE; [23003040] Secretaria da Infraestrutura - SEINFRA";"├ügua e Esgoto; Res. S├│lidos";53,13500000000;18,84500000000;3,90300000000
230050;Alc├óntaras;CE;2015;"[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE; [23005040] Prefeitura Municipal de Alc├óntaras - PMA";"├ügua e Esgoto; Res. S├│lidos";11,32100000000;2,63800000000;1,45200000000
230060;Altaneira;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua e Esgoto;7,34400000000;4,32900000000;537,00000000000
230070;Alto Santo;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua;16,87600000000;5,76400000000;0,00000000000
230075;Amontada;CE;2015;"[23007511] Servi├ºo Aut├┤nomo de ├ügua e Esgoto - SAAE; [23007540] SECRETARIA DE INFRAESTRUTURA E SERVI├çOS P├ÜBLICOS - SEINFRA";"├ügua e Esgoto; Res. S├│lidos";42,09800000000;17,11200000000;1,05000000000
230080;Antonina do Norte;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua;7,22700000000;4,53200000000;0,00000000000
230090;Apuiar├®s;CE;2015;"[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE; [23009040] PREFEITURA MUNICIPA DE APUIARES - PMA";"├ügua; Res. S├│lidos";14,56500000000;4,65400000000;0,00000000000
230100;Aquiraz;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua e Esgoto;77,71700000000;26,00400000000;13,12000000000
230110;Aracati;CE;2015;"[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE; [23011040] SECRETARIA DE INFRAESTRUTURA E URBANISMO - SEINFRA";"├ügua e Esgoto; Res. S├│lidos";72,72700000000;36,10200000000;9,69400000000
230120;Aracoiaba;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua;26,13400000000;10,06300000000;0,00000000000
230125;Ararend├í;CE;2015;"[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE; [23012540] Prefeitura Municipal de Ararend├í - PMA";"├ügua; Res. S├│lidos";10,77500000000;3,43900000000;0,00000000000
230130;Araripe;CE;2015;"[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE; [23013040] Prefeitura Municipal de Araripe - PMA";"├ügua; Res. S├│lidos";21,28900000000;8,76000000000;0,00000000000
230140;Aratuba;CE;2015;"[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE; [23014040] Prefeitura Municipal de Aratuba - PMA";"├ügua e Esgoto; Res. S├│lidos";11,35800000000;3,24800000000;1,00100000000
230150;Arneiroz;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua;7,77100000000;3,15400000000;0,00000000000
230160;Assar├®;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua;23,12600000000;10,14300000000;0,00000000000
230170;Aurora;CE;2015;"[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE; [23017040] PREFEITURTA MUNICIPAL DE AURORA CEARA - PMA";"├ügua e Esgoto; Res. S├│lidos";24,60200000000;10,35900000000;1,54800000000
230180;Baixio;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua;6,19800000000;3,30700000000;0,00000000000
230185;Banabui├║;CE;2015;[23018511] Servi├ºo Aut├┤nomo de ├ügua e Esgoto - SAAE;├ügua;17,90600000000;9,05200000000;0,00000000000
230190;Barbalha;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua e Esgoto;58,85500000000;34,49800000000;3,99100000000
230195;Barreira;CE;2015;"[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE; [23019540] Secretaria da Infraestrutura e Controle Urbano - SEINCO";"├ügua e Esgoto; Res. S├│lidos";20,68700000000;7,40400000000;1,06800000000
230200;Barro;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua e Esgoto;22,27900000000;11,33200000000;1,27300000000
230205;Barroquinha;CE;2015;"[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE; [23020540] Secretaria Municipal de Infraestrutura e Servi├ºos P├║blicos - SEINFRA";"├ügua e Esgoto; Res. S├│lidos";14,82800000000;7,50800000000;1,10400000000
230210;Baturit├®;CE;2015;"[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE; [23021040] SECRETARIA DE INFRAESTRUTURA E URBANISMO - SEINFRA";"├ügua e Esgoto; Res. S├│lidos";34,94900000000;21,59200000000;684,00000000000
230220;Beberibe;CE;2015;"[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE; [23022040] Prefeitura Municipal de Beberibe - PMB";"├ügua e Esgoto; Res. S├│lidos";52,31000000000;8,57000000000;3,28000000000
230230;Bela Cruz;CE;2015;"[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE; [23023040] Secretaria de Infraestrutura - SEINFRA";"├ügua e Esgoto; Res. S├│lidos";32,10300000000;8,95100000000;4,65100000000
230240;Boa Viagem;CE;2015;"[23024011] Servi├ºo Aut├┤nomo de ├ügua e Esgoto - SAAE; [23024012] Prefeitura Municipal de Boa Viagem - PMBV; [23024040] Prefeitura Municipal - PMBV";"├ügua; Esgoto; Res. S├│lidos";53,83800000000;38,98700000000;18,22500000000
230260;Camocim;CE;2015;"[23026011] Servi├ºo Aut├┤nomo de ├ügua e Esgoto - SAAE; [23026040] SECRETARIA DE INFRAESTRUTURA - SEINFRA";"├ügua e Esgoto; Res. S├│lidos";62,47300000000;62,47300000000;17,80800000000
230270;Campos Sales;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua e Esgoto;27,12300000000;12,66800000000;2,57800000000
230280;Canind├®;CE;2015;"[23028011] Servi├ºo Aut├┤nomo de ├ügua e Esgoto de Canind├® - SAAE; [23028040] SECRETARIA DE INFRAESTRUTURA E DESENVOLVIMENTO URBANO - SEINFRA";"├ügua e Esgoto; Res. S├│lidos";76,99800000000;52,42500000000;10,33700000000
230290;Capistrano;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua;17,57300000000;4,85500000000;0,00000000000
230300;Caridade;CE;2015;"[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE; [23030040] Prefeitura Municipal de Caridade - PMC";"├ügua; Res. S├│lidos";21,80000000000;4,84900000000;0,00000000000
230310;Carir├®;CE;2015;"[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE; [23031040] PREFEITURA MUNICIPAL DE CARIR├ë - PMC";"├ügua; Res. S├│lidos";18,64500000000;5,91700000000;0,00000000000
230320;Cariria├ºu;CE;2015;[23032011] Servi├ºo Aut├┤nomo de ├ügua e Esgoto - SAMAE;├ügua;26,85800000000;15,37300000000;0,00000000000
230330;Cari├║s;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua;18,81000000000;4,40300000000;0,00000000000
230340;Carnaubal;CE;2015;"[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE; [23034040] PREFEITURA DE CARNAUBAL / SECRETARIA DE INFRAESTRUTURA E SERVI├çOS P├ÜBLICOS - SEINFRA";"├ügua; Res. S├│lidos";17,46300000000;6,87100000000;0,00000000000
230350;Cascavel;CE;2015;"[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE; [23035040] Prefeitura Municipal de Cascavel - PMC";"├ügua e Esgoto; Res. S├│lidos";70,04700000000;39,60800000000;1,17100000000
230360;Catarina;CE;2015;"[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE; [23036040] PREFEITURA MUNICIPAL DE CATARINA - PMC";"├ügua e Esgoto; Res. S├│lidos";20,07900000000;8,50900000000;2,04600000000
230365;Catunda;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua;10,29400000000;4,93900000000;0,00000000000
230370;Caucaia;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua e Esgoto;353,93200000000;240,95300000000;104,67400000000
230380;Cedro;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua e Esgoto;25,01300000000;12,29800000000;881,00000000000
230390;Chaval;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua;12,91000000000;7,43800000000;0,00000000000
230393;Chor├│;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua;13,29400000000;2,89200000000;0,00000000000
230395;Chorozinho;CE;2015;"[23039511] Prefeitura Municipal de Chorozinho - PMC; [23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE; [23039540] Secretaria de Planejamento e Desenvolvimento Urbano - SPDU";"Esgoto; ├ügua; Res. S├│lidos";19,19200000000;6,34600000000;11,59000000000
230400;Corea├║;CE;2015;"[23040011] Prefeitura Municipal de Corea├║ - PMC; [23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE; [23040040] PREFEITURA MUNICIPAL DE COREA├Ü - PMC";"Esgoto; ├ügua e Esgoto; Res. S├│lidos";22,88900000000;10,00100000000;14,88300000000
230410;Crate├║s;CE;2015;[23044000] Companhia de ├ügua e Esgoto do Cear├í - CAGECE;├ügua e Esgoto;74,27100000000;41,22500000000;19,47800000000
